pr_number,issue_number,commit_date,author,title,body,closer,files
7344,7344,2024-03-09T09:11:41Z,rex4539,fix: fix crate vulnerabilities,"https://rustsec.org/advisories/RUSTSEC-2024-0003
https://rustsec.org/advisories/RUSTSEC-2024-0019
https://rustsec.org/advisories/RUSTSEC-2024-0006
https://rustsec.org/advisories/RUSTSEC-2023-0080
https://rustsec.org/advisories/RUSTSEC-2024-0020
https://rustsec.org/advisories/RUSTSEC-2023-0074",rustdesk,"Cargo.lock, Cargo.toml"
7340,7340,2024-03-08T08:48:52Z,21pages,improve waiting for image when only one image received ,"1. fix padding of mobile server page PopupMenuItem
2. improve waiting for image when only one image received
* For flutter texture late creation: create texture between session add and session start, it works not in principle but in test.
* For late PeerInfo handling
	a. rgba texture render: allow zero size in on_rgba
	b. gpu texture render and rgba buffer render doesn't check size currently
* Fix wrong valid flag of first frame in rgba buffer render

Other issues:
- [ ] decodeImageFromPixels may fail on first image
- [ ] Correct width/height when resolution changes

Test: video service send only one frame

https://github.com/rustdesk/rustdesk/assets/14891774/42a37c07-3853-4ea3-8dab-4249b47f2524

![41a89e135b9cf6d9fce9d758c883ddf](https://github.com/rustdesk/rustdesk/assets/14891774/8ea3ce6d-9c5c-42f5-86ef-89ea94f5a291)



",,"flutter/lib/mobile/pages/server_page.dart, flutter/lib/models/desktop_render_texture.dart, flutter/lib/models/model.dart, src/flutter.rs"
7329,7329,2024-03-06T21:12:37Z,BestiaPL,Update pl.rs,Updated Polish translation.,,src/lang/pl.rs
7326,7326,2024-03-06T09:29:03Z,xlionjuan,#7315 Fix lang detection for zh-TW,"I use the sample code from [sys-locale](https://github.com/1Password/sys-locale).

````rust
use sys_locale::get_locale;

let locale = get_locale().unwrap_or_else(|| String::from(""en-US""));

println!(""The current locale is {}"", locale);
````

It print this on my system:
```plaintext
The current locale is zh-TW
```",rustdesk,src/lang.rs
7319,7319,2024-03-05T02:40:57Z,fufesou,"Fix. Input, macos, workaround fn","Workaround sticky fn.

https://github.com/rustdesk/rustdesk/issues/5707

https://github.com/rustdesk/rustdesk/issues/7308

https://github.com/rustdesk/rustdesk/issues/6060

We already have a workaround here https://github.com/fufesou/rdev/blob/b3434caee84c92412b45a2f655a15ac5dad33488/src/macos/simulate.rs#L32

But this issue appears when RustDesk is installed, so we need to change the `CGEventSourceStateID`. https://developer.apple.com/documentation/coregraphics/cgeventsourcestateid

Related : https://stackoverflow.com/questions/74938870/sticky-fn-after-home-is-simulated-programmatically-macos/77002057
",,src/server/input_service.rs
7317,7317,2024-03-04T16:23:01Z,jxdv,update sk.rs,"- typo
- some translation bits",,src/lang/sk.rs
7316,7316,2024-03-04T13:37:58Z,21pages,flutter windows main.cpp get app name from rust,"FindWindow is used for singleton and now core_main.rs doesn't handle url parameters, this pr only get the app name from rust.
If the app name is ""RustDesk"",  it works; not works yet if it's not ""RustDesk"".",,"flutter/windows/runner/main.cpp, src/flutter.rs, src/platform/windows.rs"
7312,7312,2024-03-04T00:29:31Z,21pages,"fix windows ci, downgrade flutter-action","https://github.com/subosito/flutter-action/issues/277

https://github.com/21pages/rustdesk/actions/runs/8133977459/job/22226242232",,".github/workflows/flutter-build.yml, .github/workflows/history.yml"
7309,7309,2024-03-03T10:31:59Z,mehdi-song,Update fa.rs,";-)
For all those who live in the world",,src/lang/fa.rs
7307,7307,2024-03-03T09:03:29Z,21pages,upgrade uni link desktop,"1.  https://github.com/leanflutter/uni_links_desktop/issues/15 

Version 0.1.7 doesn't have multi-window problems, tested with: 
https://github.com/21pages/rustdesk/releases/download/1.2.3-1/rustdesk-1.2.3-1-x86_64-uri_link_desktop-0.1.6.dmg
https://github.com/21pages/rustdesk/releases/download/nightly/rustdesk-1.2.4-x86_64-uni_links_desktop-0.1.7.dmg

2. ID input TextField supports ""Enter"" key connection, and the text content of the TextFiled will be used as ID, the drop-down items will not be used.",,"flutter/lib/desktop/pages/connection_page.dart, flutter/pubspec.lock, flutter/pubspec.yaml"
7288,7288,2024-02-28T22:32:10Z,xalt7x,Update Ukrainian UI translation,,,src/lang/ua.rs
7287,7287,2024-02-28T14:46:47Z,xlionjuan,Update tw.rs,,,src/lang/tw.rs
7282,7282,2024-02-28T03:55:56Z,21pages,"port forward, wait until TestDelay is replied","The reason why the rdp connection failed before was that when connecting with a password, the control end first received the TestDelay, send TestDelay back and then immediately received the LoginResponse. At the same time, the controlled end had ended the `on_message` loop and TestDelay was sent to the RDP server.

Now port forward will wait until TestDelay is replied, and will not send TestDelay when port forward is authorized.

Tested rdp/tcp tunneling with/without password.",,src/server/connection.rs
7275,7275,2024-02-27T15:51:13Z,flusheDData,new terms,New terms added ,,src/lang/es.rs
7274,7274,2024-02-27T15:04:44Z,21pages,"fix rdp not work, caused by test_delay_timer","https://github.com/rustdesk/rustdesk/pull/7189#issuecomment-1962854211
windows rdp not work after commit https://github.com/rustdesk/rustdesk/commit/f47faa548bdb1bc4839a19bb628ac0755f5c8141

`let mut test_delay_timer = crate::rustdesk_interval(time::interval(TEST_DELAY_TIMEOUT));`: will send `TestDelay`, 
`let mut test_delay_timer = time::interval_at(Instant::now() + TEST_DELAY_TIMEOUT, TEST_DELAY_TIMEOUT);` will not in test,
have not dig the reason, maybe `TestDelay` is sent to the rdp client and affects rdp handshake.

",,src/server/connection.rs
7272,7272,2024-02-27T09:25:06Z,fufesou,"Refact. Qs, do not check qs on startup(flutter).","To avoid confusion.

Revert to `initEnv` check on flutter and do not check qs on flutter.

Process will not exit if early return on the flutter side.

core_main.rs has checked qs already.",,"flutter/lib/main.dart, flutter/lib/models/native_model.dart"
7271,7271,2024-02-27T07:37:06Z,21pages,update runas to 1.2.0," https://github.com/mitsuhiko/rust-runas/issues/13#issuecomment-1964718993

Tested windows install",,"Cargo.lock, Cargo.toml, src/platform/windows.rs"
